Cislo,Nazev obce,Volici v seznamu,Vydane obalky,Platne hlasy,Strana zelených,Švýcarská demokracie,VOLNÝ blok,Svoboda a př. demokracie (SPD),Česká str.sociálně demokrat.,ALIANCE NÁRODNÍCH SIL,Trikolora Svobodní Soukromníci,Aliance pro budoucnost,Hnutí Prameny,PŘÍSAHA Roberta Šlachty,"SPOLU – ODS, KDU-ČSL, TOP 09",SENIOŘI 21,Urza.cz: Nechceme vaše hlasy,Koruna Česká (monarch.strana),PIRÁTI a STAROSTOVÉ,Komunistická str.Čech a Moravy,ANO 2011,Otevřeme ČR normálnímu životu,Moravané,-
569119,Čavisov,406,310,308,4,0,2,27,14,0,9,0,1,19,82,0,0,0,37,21,88,3,1,-
506711,Dolní Lhota,1 204,958,955,4,1,18,87,45,0,12,1,3,59,265,2,0,0,107,20,330,0,1,-
569500,Horní Lhota,690,493,484,4,0,15,64,29,1,9,0,2,18,105,0,0,1,54,28,148,0,6,-
599549,Klimkovice,3 704,2 640,2 624,26,11,39,242,127,5,66,7,6,154,692,2,2,1,329,104,788,11,12,-
554049,Olbramice,563,383,380,5,0,4,36,15,2,11,2,2,12,101,0,0,1,55,11,117,1,5,-
554821,Ostrava,229 035,130 437,129 210,1 251,486,2 481,15 719,6 228,77,3 328,158,155,6 313,26 531,202,131,133,16 156,5 068,43 850,394,549,-
598739,Stará Ves nad Ondřejnicí,2 288,1 661,1 651,11,0,26,174,106,1,62,0,9,67,408,3,1,2,233,74,464,5,5,-
598798,Šenov,5 166,3 662,3 642,29,14,44,463,184,3,92,4,4,194,862,6,2,2,409,163,1 147,13,7,-
598836,Václavovice,1 662,1 215,1 187,18,5,16,142,64,2,36,2,2,72,251,0,1,0,143,47,376,6,4,-
510882,Velká Polom,1 571,1 169,1 162,11,0,10,110,54,2,21,2,4,42,324,2,0,1,153,57,366,0,3,-
598879,Vratimov,5 805,3 864,3 829,35,11,62,457,195,2,100,2,4,242,771,7,3,9,452,151,1 294,8,24,-
500291,Vřesina,2 317,1 709,1 699,12,11,31,138,94,0,52,0,1,103,509,1,3,2,189,45,505,0,3,-
568449,Zbyslavice,510,369,365,3,3,14,28,16,0,9,1,0,23,87,0,0,0,33,17,127,3,1,-
